,Vatom,cAlGa,cAlIn,cAlO,cGaAl,cGaIn,cGaO,cInAl,cInGa,cInO,distAlGa,distAlIn,distAlO,distGaAl,distGaIn,distGaO,distInAl,distInGa,distInO,elInt,qAl,qGa,qIn,qO,xEq
0,11.44184318752443,3.6666666666666674,2.0000000000000004,3.333333333333334,1.466666666666667,1.3333333333333337,3.8666666666666676,1.0909090909090913,1.8181818181818186,2.818181818181819,3.475,3.475,2.025,3.475,3.475,2.125,3.475,3.475,2.125,-39.62610701402484,0.33742481532485913,0.3392716296563418,0.37361582616508743,-0.2338207796793804,4.86084641662549
1,9.599033819630334,1.458333333333334,0.0,3.666666666666668,4.375000000000001,0.0,2.7500000000000004,0.0,0.0,0.0,3.2750000000000004,0.025,1.8250000000000002,3.2750000000000004,0.025,1.8250000000000002,0.025,0.025,1.8250000000000002,-41.39341290296976,0.3487425900014702,0.3453909360453158,,-0.2319364510082874,4.895083597122283
2,9.654037467151015,0.5000000000000002,0.37500000000000017,3.625000000000001,2.000000000000001,1.5000000000000004,1.0000000000000002,1.5000000000000007,1.5000000000000004,3.5000000000000004,3.625,2.9250000000000003,2.075,3.625,3.375,1.925,2.9250000000000003,3.375,1.925,-35.706422278050994,0.3434483756344127,0.3274692051309788,0.37468127592052025,-0.2306604426210164,4.907997345931178
3,10.22654930454278,2.5,0.0,1.2777777777777781,3.214285714285715,0.0,1.2142857142857149,0.0,0.0,0.0,3.4250000000000003,0.025,1.8250000000000002,3.4250000000000003,0.025,1.8250000000000002,0.025,0.025,1.8250000000000002,-42.04226087646852,0.3483023531414642,0.3485502835700985,,-0.2322738818026613,4.912924501636794
4,11.549946910490096,1.166666666666667,1.3333333333333333,2.0,0.4375,1.4375,2.875,0.8000000000000002,2.3000000000000007,3.0000000000000004,3.125,3.625,1.875,3.125,3.375,2.025,3.625,3.375,2.025,-41.322466662474106,0.3398918305754317,0.33979136810718524,0.3776586509792414,-0.23442915381166607,4.881586879491312
5,9.276486160001772,0.0,0.0,3.250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,1.8250000000000002,0.025,0.025,0.025,0.025,0.025,0.025,-39.85623715669919,0.3471191706488147,,,-0.2314127804325431,4.903024894797806
6,9.624301458365897,3.500000000000001,0.0,3.7500000000000004,1.7500000000000004,0.0,3.1250000000000004,0.0,0.0,0.0,3.625,0.025,2.075,3.625,0.025,2.075,0.025,0.025,2.075,-35.15904376591642,0.35074212679387307,0.3394262107545587,,-0.2287987885117756,4.928945267334451
7,10.7399132531648,2.5,0.5,3.500000000000001,0.6818181818181819,0.6363636363636364,3.772727272727273,0.75,3.5,3.000000000000001,3.4250000000000003,3.4250000000000003,1.925,3.4250000000000003,3.4250000000000003,1.925,3.4250000000000003,3.4250000000000003,1.925,-39.851929860958705,0.34512542471523955,0.3436462370051654,0.3767298279744537,-0.2320393557146434,4.886536167399713
8,10.181381225937196,4.000000000000001,0.0,2.9000000000000004,1.8181818181818186,0.0,2.954545454545455,0.0,0.0,0.0,3.375,0.025,1.875,3.375,0.025,2.025,0.025,0.025,2.025,-40.34058461497075,0.3542431483255889,0.34349982036928434,,-0.2312380735704196,4.899832276671888
9,10.089509291485316,0.0,0.5,3.958333333333333,0.0,0.0,0.0,1.5,0.0,5.375000000000001,0.025,3.075,1.975,0.025,0.025,0.025,3.075,0.025,0.025,-39.45591517097224,0.3344142020158225,,0.39348556145475455,-0.23278802791703682,4.8444084435682555
10,10.825210263236206,2.0000000000000004,0.5000000000000002,1.5,0.6666666666666669,0.8333333333333337,2.500000000000001,0.2500000000000001,1.2500000000000004,4.750000000000001,3.7750000000000004,2.825,2.025,3.7750000000000004,3.0250000000000004,2.125,2.825,3.0250000000000004,2.125,-35.077836829303735,0.33603597301737376,0.3255549209127671,0.38530101420667673,-0.23147808490766966,4.8952369530164415
11,9.971694991605093,1.0,0.3333333333333334,3.0000000000000004,0.375,0.125,3.75,1.0000000000000002,1.0,1.0000000000000002,2.7750000000000004,5.375,2.075,2.7750000000000004,3.375,2.075,5.375,3.375,2.075,-34.76719023711543,0.33640788957676016,0.34418782718172214,0.3650431602994288,-0.229320524804638,4.91895560109912
